NUM;FECHA_CORTE;PERIODO;EMPRESA;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO_DISTRITO;TECNOLOGÍA;SEGMENTO;RANGO_VELOC_BAJADA;VELOC_INFERIOR_KBPS;VELOC_SUPERIOR_EXCLUYENTE_KBPS;CANT_CONEXIONES
52;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;CARLOS FERMIN FITZCARRALD;SAN LUIS;20701;Otras Tecnologías;Residencial;8 Mbps <= BW < 16 Mbps;8192;16384;6
53;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;CASMA;CASMA;20801;Fibra Óptica;Comercial;50 Mbps <= BW < 100 Mbps;51200;102400;14
54;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;CASMA;CASMA;20801;Fibra Óptica;Comercial;100 Mbps <= BW < 200 Mbps;102400;204800;4
55;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;CASMA;CASMA;20801;Fibra Óptica;Comercial;BW >= 200 Mbps;204800;N.A.;7
56;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;CASMA;CASMA;20801;Fibra Óptica;Residencial;8 Mbps <= BW < 16 Mbps;8192;16384;22
57;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;CASMA;CASMA;20801;Fibra Óptica;Residencial;16 Mbps <= BW < 30 Mbps;16384;30720;14
58;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;CASMA;CASMA;20801;Fibra Óptica;Residencial;30 Mbps <= BW < 50 Mbps;30720;51200;131
59;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;CASMA;CASMA;20801;Fibra Óptica;Residencial;50 Mbps <= BW < 100 Mbps;51200;102400;454
60;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;CASMA;CASMA;20801;Fibra Óptica;Residencial;100 Mbps <= BW < 200 Mbps;102400;204800;318
61;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;CASMA;CASMA;20801;Fibra Óptica;Residencial;BW >= 200 Mbps;204800;N.A.;32
62;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;CASMA;CASMA;20801;Otras Tecnologías;Comercial;16 Mbps <= BW < 30 Mbps;16384;30720;3
63;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;CASMA;CASMA;20801;Otras Tecnologías;Residencial;4 Mbps <= BW < 8 Mbps;4096;8192;6
64;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;CASMA;CASMA;20801;Otras Tecnologías;Residencial;8 Mbps <= BW < 16 Mbps;8192;16384;27
65;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;CASMA;CASMA;20801;Otras Tecnologías;Residencial;16 Mbps <= BW < 30 Mbps;16384;30720;61
66;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;CASMA;COMANDANTE NOEL;20803;Otras Tecnologías;Residencial;16 Mbps <= BW < 30 Mbps;16384;30720;3
67;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;CASMA;YAUTAN;20804;Otras Tecnologías;Comercial;16 Mbps <= BW < 30 Mbps;16384;30720;1
68;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;CASMA;YAUTAN;20804;Otras Tecnologías;Residencial;16 Mbps <= BW < 30 Mbps;16384;30720;46
69;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;CORONGO;CORONGO;20901;Otras Tecnologías;Residencial;4 Mbps <= BW < 8 Mbps;4096;8192;1
70;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;CORONGO;CORONGO;20901;Otras Tecnologías;Residencial;8 Mbps <= BW < 16 Mbps;8192;16384;28
71;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;CORONGO;CORONGO;20901;Otras Tecnologías;Residencial;16 Mbps <= BW < 30 Mbps;16384;30720;2
72;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUARAZ;HUANCHAY;20104;Otras Tecnologías;Residencial;16 Mbps <= BW < 30 Mbps;16384;30720;4
73;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUARAZ;HUARAZ;20101;Cablemódem;Residencial;50 Mbps <= BW < 100 Mbps;51200;102400;1
74;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUARAZ;HUARAZ;20101;Fibra Óptica;Comercial;30 Mbps <= BW < 50 Mbps;30720;51200;6
75;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUARAZ;HUARAZ;20101;Fibra Óptica;Comercial;50 Mbps <= BW < 100 Mbps;51200;102400;32
76;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUARAZ;HUARAZ;20101;Fibra Óptica;Comercial;100 Mbps <= BW < 200 Mbps;102400;204800;22
77;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUARAZ;HUARAZ;20101;Fibra Óptica;Comercial;BW >= 200 Mbps;204800;N.A.;14
78;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUARAZ;HUARAZ;20101;Fibra Óptica;Residencial;8 Mbps <= BW < 16 Mbps;8192;16384;396
79;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUARAZ;HUARAZ;20101;Fibra Óptica;Residencial;16 Mbps <= BW < 30 Mbps;16384;30720;208
80;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUARAZ;HUARAZ;20101;Fibra Óptica;Residencial;30 Mbps <= BW < 50 Mbps;30720;51200;1046
81;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUARAZ;HUARAZ;20101;Fibra Óptica;Residencial;50 Mbps <= BW < 100 Mbps;51200;102400;2465
82;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUARAZ;HUARAZ;20101;Fibra Óptica;Residencial;100 Mbps <= BW < 200 Mbps;102400;204800;1415
83;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUARAZ;HUARAZ;20101;Fibra Óptica;Residencial;BW >= 200 Mbps;204800;N.A.;164
84;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUARAZ;HUARAZ;20101;Otras Tecnologías;Comercial;8 Mbps <= BW < 16 Mbps;8192;16384;4
85;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUARAZ;HUARAZ;20101;Otras Tecnologías;Comercial;16 Mbps <= BW < 30 Mbps;16384;30720;13
86;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUARAZ;HUARAZ;20101;Otras Tecnologías;Residencial;2048 <=  BW < 4096 kbps;2048;4096;3
87;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUARAZ;HUARAZ;20101;Otras Tecnologías;Residencial;4 Mbps <= BW < 8 Mbps;4096;8192;4
88;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUARAZ;HUARAZ;20101;Otras Tecnologías;Residencial;8 Mbps <= BW < 16 Mbps;8192;16384;76
89;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUARAZ;HUARAZ;20101;Otras Tecnologías;Residencial;16 Mbps <= BW < 30 Mbps;16384;30720;166
